TrackID,FrameID,WorldX,WorldY,WorldZ
422,26,-17.6714,5.79356,-7.35691
422,28,-17.8061,5.78688,-7.37014
422,31,-18.0008,5.77107,-7.38924
425,36,11.919,9.05998,0.739144
425,41,11.7944,8.95863,0.842949
430,17,0.969173,0.368718,-6.66229
431,32,11.5357,-12.281,-2.03144
432,36,-14.5282,0.466829,16.3332
435,13,-6.96234,9.00581,-1.00352
437,22,-12.3267,-0.847146,5.86166
438,49,2.25588,-6.71907,12.6606
439,20,12.7522,3.97298,-15.6862
440,5,-5.09859,-12.5404,18.4152
444,47,-17.1834,1.57873,15.9936
447,11,2.65903,19.6591,15.9901
449,40,6.44133,-6.20931,0.139373
451,29,18.5299,10.455,17.4393
453,23,-15.4058,-0.227886,-7.05517
454,45,8.9218,12.5024,-1.53208
455,46,12.0526,4.34769,17.7934
458,8,-9.05268,14.9536,15.9609
466,11,8.37147,-14.8731,-6.2861
468,4,-13.9383,-14.7926,-16.7766
468,41,-13.9382,-15.1931,-18.7256
471,23,-10.3111,15.2479,19.1925
474,50,18.975,-4.47551,1.74717
475,39,-16.8497,4.13644,-1.57776
479,44,13.2761,8.79788,-4.82722
482,21,-5.78409,0.76877,2.02042
491,40,-15.7889,-9.17462,18.5585
492,35,16.4456,14.4722,7.96969
492,47,16.5619,14.84,8.28629
497,13,5.40601,-8.07872,11.6804
503,7,12.8488,7.33919,6.26422
504,17,-13.797,9.20666,19.5702
506,8,-15.1954,-2.09808,-16.4029
508,31,1.6203,-7.9915,-16.4439
508,35,1.62986,-7.83194,-16.4881
512,32,-8.2975,4.82767,-5.49995
519,18,0.081817,-4.12284,-6.3607
524,26,8.08344,-6.81205,6.58844
526,12,8.76219,-15.7648,-9.17196
528,30,-10.4828,13.9257,3.22581
530,49,-10.4392,-12.21,-11.585
531,24,-1.38544,15.1314,12.6476
537,37,14.9162,6.21679,12.5447
541,45,-10.7309,3.14316,-18.0969
543,22,-0.297569,14.0491,-9.51516
545,20,-7.40833,15.6108,6.05182
547,43,14.4874,-0.0178408,2.09015
548,36,-4.30975,-6.60916,-0.478531
553,42,-2.94251,-9.84996,0.359478
556,10,-16.8107,-9.81709,-0.295967
556,11,-16.8127,-9.83811,-0.314612
557,35,-2.98572,-1.03008,1.45468
560,15,-18.2545,4.61587,6.53776
560,21,-18.1897,4.84505,6.74299
561,42,3.51711,-10.1662,-2.39169
563,26,-9.6389,-6.61536,4.9614
565,8,-12.3699,-6.89408,-3.46633
569,44,4.31803,19.0763,-3.0373
570,13,0.559289,0.550357,12.021
574,40,3.55312,6.10742,-0.176185
577,25,-10.2853,2.17321,11.8463
578,7,-13.5551,-16.5424,-13.8544
578,14,-13.536,-16.3684,-14.2109
578,16,-13.5442,-16.3063,-14.3043
578,18,-13.5528,-16.2384,-14.3984
583,34,-11.6369,0.669596,-0.778515
584,44,-13.2087,8.8449,-10.121
587,45,0.0786777,-10.245,-6.63831
588,6,-7.91544,4.48926,-3.83263
589,28,-8.37488,7.89503,-17.0579
592,8,-9.36729,13.9817,6.057
592,49,-7.84156,11.5574,5.47672
594,4,-12.0887,-12.2893,-0.396816
594,29,-12.314,-11.7915,-0.542879
597,20,-12.8944,5.11549,2.36907
600,33,-13.061,12.0676,5.74243
601,6,8.01833,-16.9702,12.0324
601,44,9.85945,-18.1071,14.1446
