WorldX,WorldY,WorldZ,Col(ImgX),Row(ImgY),MouseX,MouseY
-4.5,0.5,0.0,168.0,342.1499938964844,168.0,457.8500061035156
4.5,1.0,0.0,1125.9285888671875,315.1666564941406,1125.9285888671875,484.8333435058594
4.0,1.0,0.0,1073.4666748046875,314.0,1073.4666748046875,486.0
3.5,1.0,0.0,1020.0,312.5,1020.0,487.5
3.0,1.0,0.0,966.9666748046875,311.0333251953125,966.9666748046875,488.9666748046875
2.5,1.0,0.0,914.419189453125,309.5505065917969,914.419189453125,490.4494934082031
2.0,1.0,0.0,861.4091186523438,308.4090881347656,861.4091186523438,491.5909118652344
1.5,1.0,0.0,808.1363525390625,306.8636474609375,808.1363525390625,493.1363525390625
1.0,1.0,0.0,755.5,305.3571472167969,755.5,494.6428527832031
0.5,1.0,0.0,702.1666870117188,303.8333435058594,702.1666870117188,496.1666564941406
0.0,1.0,0.0,649.5,302.0833435058594,649.5,497.9166564941406
-0.5,1.0,0.0,596.5,300.9166564941406,596.5,499.0833435058594
-1.0,1.0,0.0,543.368408203125,299.2631530761719,543.368408203125,500.7368469238281
-1.5,1.0,0.0,490.4294128417969,297.688232421875,490.4294128417969,502.311767578125
-2.0,1.0,0.0,437.0,296.5,437.0,503.5
-2.5,1.0,0.0,383.7631530761719,294.9605407714844,383.7631530761719,505.0394592285156
-3.0,1.0,0.0,330.0,293.5,330.0,506.5
-3.5,1.0,0.0,276.5,292.0,276.5,508.0
-4.0,1.0,0.0,223.23133850097656,290.4850769042969,223.23133850097656,509.5149230957031
-4.5,1.0,0.0,169.7857208251953,289.0,169.7857208251953,511.0
4.5,1.5,0.0,1128.0,262.5,1128.0,537.5
4.0,1.5,0.0,1074.9117431640625,261.0882263183594,1074.9117431640625,538.9117736816406
3.5,1.5,0.0,1022.0,259.5,1022.0,540.5
3.0,1.5,0.0,968.9716796875,258.0377502441406,968.9716796875,541.9622497558594
2.5,1.5,0.0,916.0,256.5,916.0,543.5
2.0,1.5,0.0,863.4166870117188,255.4166717529297,863.4166870117188,544.5833282470703
1.5,1.5,0.0,810.4495239257812,253.580810546875,810.4495239257812,546.419189453125
1.0,1.5,0.0,757.5,252.35714721679688,757.5,547.6428527832031
0.5,1.5,0.0,704.4495239257812,250.580810546875,704.4495239257812,549.419189453125
0.0,1.5,0.0,651.1875,249.0,651.1875,551.0
-0.5,1.5,0.0,598.5,247.9166717529297,598.5,552.0833282470703
-1.0,1.5,0.0,545.129638671875,246.09259033203125,545.129638671875,553.9074096679688
-1.5,1.5,0.0,492.04412841796875,244.73529052734375,492.04412841796875,555.2647094726562
-2.0,1.5,0.0,438.6666564941406,243.3333282470703,438.6666564941406,556.6666717529297
-2.5,1.5,0.0,385.3666687011719,241.63333129882812,385.3666687011719,558.3666687011719
-3.0,1.5,0.0,332.0,240.0,332.0,560.0
-3.5,1.5,0.0,278.5,238.9166717529297,278.5,561.0833282470703
-4.0,1.5,0.0,224.65853881835938,237.243896484375,224.65853881835938,562.756103515625
-4.5,1.5,0.0,171.5,235.5,171.5,564.5
4.5,2.0,0.0,1130.0,209.5,1130.0,590.5
4.0,2.0,0.0,1077.0,208.0,1077.0,592.0
3.5,2.0,0.0,1024.0,206.5,1024.0,593.5
3.0,2.0,0.0,971.0,205.0,971.0,595.0
2.5,2.0,0.0,918.0,203.8125,918.0,596.1875
2.0,2.0,0.0,865.0,202.0,865.0,598.0
1.5,2.0,0.0,812.3571166992188,200.5,812.3571166992188,599.5
1.0,2.0,0.0,759.0999755859375,199.10000610351562,759.0999755859375,600.8999938964844
0.5,2.0,0.0,706.1153564453125,197.15383911132812,706.1153564453125,602.8461608886719
0.0,2.0,0.0,653.0,196.0,653.0,604.0
-0.5,2.0,0.0,600.3571166992188,194.5,600.3571166992188,605.5
-1.0,2.0,0.0,547.0,193.0,547.0,607.0
-1.5,2.0,0.0,493.8846130371094,191.15383911132812,493.8846130371094,608.8461608886719
-2.0,2.0,0.0,440.5,190.0,440.5,610.0
-2.5,2.0,0.0,387.1153869628906,188.11538696289062,387.1153869628906,611.8846130371094
-3.0,2.0,0.0,333.5,187.0,333.5,613.0
-3.5,2.0,0.0,280.1153869628906,185.15383911132812,280.1153869628906,614.8461608886719
-4.0,2.0,0.0,226.5,184.0,226.5,616.0
-4.5,2.0,0.0,173.2073211669922,182.39024353027344,173.2073211669922,617.6097564697266
4.5,2.5,0.0,1132.0,156.5,1132.0,643.5
4.0,2.5,0.0,1078.9117431640625,155.08824157714844,1078.9117431640625,644.9117584228516
3.5,2.5,0.0,1025.9705810546875,153.7941131591797,1025.9705810546875,646.2058868408203
3.0,2.5,0.0,972.727294921875,152.36363220214844,972.727294921875,647.6363677978516
2.5,2.5,0.0,920.0,150.5,920.0,649.5
2.0,2.5,0.0,867.0,149.1875,867.0,650.8125
1.5,2.5,0.0,814.3571166992188,147.5,814.3571166992188,652.5
1.0,2.5,0.0,761.0,146.1875,761.0,653.8125
0.5,2.5,0.0,708.0098266601562,144.19607543945312,708.0098266601562,655.8039245605469
0.0,2.5,0.0,655.0,143.0,655.0,657.0
